id,university,department,score
3031,IZMIR DEMOKRASI UNIVERSITESI,Beslenme ve Diyetetik,340.05
3062,ISTANBUL YENI YUZYIL UNIVERSITESI,Beslenme ve Diyetetik,338.99
3122,FENERBAHCE UNIVERSITESI,Beslenme ve Diyetetik,336.80
3132,ISTANBUL GELISIM UNIVERSITESI,Beslenme ve Diyetetik,336.22
3138,ONDOKUZ MAYIS UNIVERSITESI,Beslenme ve Diyetetik,336.01
3162,HASAN KALYONCU UNIVERSITESI,Beslenme ve Diyetetik,335.16
3206,ISTANBUL GALATA UNIVERSITESI,Beslenme ve Diyetetik,333.35
3230,AYDIN ADNAN MENDERES UNIVERSITESI,Beslenme ve Diyetetik,332.45
3242,KARADENIZ TEKNIK UNIVERSITESI,Beslenme ve Diyetetik,331.83
3256,ISTANBUL KULTUR UNIVERSITESI,Beslenme ve Diyetetik,331.42
3258,ISTANBUL KENT UNIVERSITESI,Beslenme ve Diyetetik,331.33
3300,DEMIROGLU BILIM UNIVERSITESI,Beslenme ve Diyetetik,329.72
3331,ISTANBUL AREL UNIVERSITESI,Beslenme ve Diyetetik,328.69
3350,ISTANBUL GEDIK UNIVERSITESI,Beslenme ve Diyetetik,328.22
3371,MUGLA SITKI KOCMAN UNIVERSITESI,Beslenme ve Diyetetik,327.64
3392,ISTANBUL NISANTASI UNIVERSITESI,Beslenme ve Diyetetik,327.06
3423,ERCIYES UNIVERSITESI,Beslenme ve Diyetetik,326.18
3503,ISTANBUL RUMELI UNIVERSITESI,Beslenme ve Diyetetik,323.15
3507,NUH NACI YAZGAN UNIVERSITESI,Beslenme ve Diyetetik,323.03
3514,AVRASYA UNIVERSITESI,Beslenme ve Diyetetik,322.81
3518,BOLU ABANT IZZET BAYSAL UNIVERSITESI,Beslenme ve Diyetetik,322.68
3533,TOROS UNIVERSITESI,Beslenme ve Diyetetik,322.25
3554,SELCUK UNIVERSITESI,Beslenme ve Diyetetik,321.53
3563,TRAKYA UNIVERSITESI,Beslenme ve Diyetetik,320.98
3626,BANDIRMA ONYEDI EYLUL UNIVERSITESI,Beslenme ve Diyetetik,319.74
3648,ISTANBUL ESENYURT UNIVERSITESI,Beslenme ve Diyetetik,318.90
3661,DICLE UNIVERSITESI,Beslenme ve Diyetetik,318.14
3665,ALANYA ALAADDIN KEYKUBAT UNIVERSITESI,Beslenme ve Diyetetik,317.89
3788,KAPADOKYA UNIVERSITESI,Beslenme ve Diyetetik,313.36
3807,NECMETTIN ERBAKAN UNIVERSITESI,Beslenme ve Diyetetik,312.63
3890,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Beslenme ve Diyetetik,310.01
3913,AFYONKARAHISAR SAGLIK BILIMLERI UNIVERSITESI,Beslenme ve Diyetetik,309.07
3919,KUTAHYA SAGLIK BILIMLERI UNIVERSITESI,Beslenme ve Diyetetik,308.95
3975,ATATURK UNIVERSITESI,Beslenme ve Diyetetik,306.72
3991,KIRIKKALE UNIVERSITESI,Beslenme ve Diyetetik,305.98
4011,DOGU AKDENIZ UNIVERSITESI,Beslenme ve Diyetetik,305.40
4041,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Beslenme ve Diyetetik,304.19
4091,AMASYA UNIVERSITESI,Beslenme ve Diyetetik,302.26
4147,KIRKLARELI UNIVERSITESI,Beslenme ve Diyetetik,299.94
4148,FIRAT UNIVERSITESI,Beslenme ve Diyetetik,299.83
4182,INONU UNIVERSITESI,Beslenme ve Diyetetik,298.80
4192,SIVAS CUMHURIYET UNIVERSITESI,Beslenme ve Diyetetik,298.43
4229,MARDIN ARTUKLU UNIVERSITESI,Beslenme ve Diyetetik,296.52
4234,KASTAMONU UNIVERSITESI,Beslenme ve Diyetetik,296.21
4248,ERZURUM TEKNIK UNIVERSITESI,Beslenme ve Diyetetik,295.67
4253,NIGDE OMER HALISDEMIR UNIVERSITESI,Beslenme ve Diyetetik,295.59
4314,OSMANIYE KORKUT ATA UNIVERSITESI,Beslenme ve Diyetetik,293.07
4324,CANKIRI KARATEKIN UNIVERSITESI,Beslenme ve Diyetetik,292.60
4336,TOKAT GAZIOSMANPASA UNIVERSITESI,Beslenme ve Diyetetik,292.11
4360,HITIT UNIVERSITESI,Beslenme ve Diyetetik,291.28
4362,KARAMANOGLU MEHMETBEY UNIVERSITESI,Beslenme ve Diyetetik,291.25
4421,MALATYA TURGUT OZAL UNIVERSITESI,Beslenme ve Diyetetik,289.11
4510,ERZINCAN BINALI YILDIRIM UNIVERSITESI,Beslenme ve Diyetetik,285.01
4520,ULUSLARARASI KIBRIS UNIVERSITESI,Beslenme ve Diyetetik,284.75
4568,GUMUSHANE UNIVERSITESI,Beslenme ve Diyetetik,282.58
4571,ARTVIN CORUH UNIVERSITESI,Beslenme ve Diyetetik,282.37
4636,YAKIN DOGU UNIVERSITESI,Beslenme ve Diyetetik,280.21
4675,GIRNE UNIVERSITESI,Beslenme ve Diyetetik,278.66
4714,BAYBURT UNIVERSITESI,Beslenme ve Diyetetik,276.87
4733,MUNZUR UNIVERSITESI,Beslenme ve Diyetetik,276.12
4736,BINGOL UNIVERSITESI,Beslenme ve Diyetetik,276.06
4740,LEFKE AVRUPA UNIVERSITESI,Beslenme ve Diyetetik,275.98
4744,BITLIS EREN UNIVERSITESI,Beslenme ve Diyetetik,275.82
4805,AGRI IBRAHIM CECEN UNIVERSITESI,Beslenme ve Diyetetik,273.47
4950,KIBRIS SAGLIK VE TOPLUM BILIMLERI UNIVERSITESI,Beslenme ve Diyetetik,268.15
4955,IGDIR UNIVERSITESI,Beslenme ve Diyetetik,268.06
5071,ULUSLARARASI FINAL UNIVERSITESI,Beslenme ve Diyetetik,263.43
720,YEDITEPE UNIVERSITESI,Bilgi Guvenligi Teknolojisi,443.74
3612,ADANA ALPARSLAN TURKES BILIM VE TEKNOLOJI UNIVERSITESI,Bilgi Guvenligi Teknolojisi,320.00
3601,ONDOKUZ MAYIS UNIVERSITESI,Bilgi Guvenligi Teknolojisi,320.00
4449,ULUSLARARASI KIBRIS UNIVERSITESI,Bilgi Guvenligi Teknolojisi,287.45
3241,ISTANBUL 29 MAYIS UNIVERSITESI,Bilgi ve Belge Yonetimi,331.90
3536,HACETTEPE UNIVERSITESI,Bilgi ve Belge Yonetimi,322.13
3794,ANKARA UNIVERSITESI,Bilgi ve Belge Yonetimi,313.17
4019,ISTANBUL UNIVERSITESI,Bilgi ve Belge Yonetimi,305.13
4125,MARMARA UNIVERSITESI,Bilgi ve Belge Yonetimi,300.81
